,K,m
0,5,5e-05
1,5,5.85e-05
2,5,6.85e-05
3,5,8.02e-05
4,5,9.39e-05
5,5,0.00011
6,5,0.0001288
7,5,0.0001508
8,5,0.0001765
9,5,0.0002067
10,5,0.0002419
11,5,0.0002833
12,5,0.0003316
13,5,0.0003883
14,5,0.0004546
15,5,0.0005322
16,5,0.0006231
17,5,0.0007295
18,5,0.0008541
19,5,0.001
20,5,0.0011139
21,5,0.0012278
22,5,0.0013418
23,5,0.0014557
24,5,0.0015696
25,5,0.0016835
26,5,0.0017975
27,5,0.0019114
28,5,0.0020253
29,5,0.0021392
30,5,0.0022532
31,5,0.0023671
32,5,0.002481
33,5,0.0025949
34,5,0.0027089
35,5,0.0028228
36,5,0.0029367
37,5,0.0030506
38,5,0.0031646
39,5,0.0032785
40,5,0.0033924
41,5,0.0035063
42,5,0.0036203
43,5,0.0037342
44,5,0.0038481
45,5,0.003962
46,5,0.0040759
47,5,0.0041899
48,5,0.0043038
49,5,0.0044177
50,5,0.0045316
51,5,0.0046456
52,5,0.0047595
53,5,0.0048734
54,5,0.0049873
55,5,0.0051013
56,5,0.0052152
57,5,0.0053291
58,5,0.005443
59,5,0.005557
60,5,0.0056709
61,5,0.0057848
62,5,0.0058987
63,5,0.0060127
64,5,0.0061266
65,5,0.0062405
66,5,0.0063544
67,5,0.0064684
68,5,0.0065823
69,5,0.0066962
70,5,0.0068101
71,5,0.0069241
72,5,0.007038
73,5,0.0071519
74,5,0.0072658
75,5,0.0073797
76,5,0.0074937
77,5,0.0076076
78,5,0.0077215
79,5,0.0078354
80,5,0.0079494
81,5,0.0080633
82,5,0.0081772
83,5,0.0082911
84,5,0.0084051
85,5,0.008519
86,5,0.0086329
87,5,0.0087468
88,5,0.0088608
89,5,0.0089747
90,5,0.0090886
91,5,0.0092025
92,5,0.0093165
93,5,0.0094304
94,5,0.0095443
95,5,0.0096582
96,5,0.0097722
97,5,0.0098861
98,5,0.01
99,5,0.0118461
100,5,0.014033
101,5,0.0166237
102,5,0.0196926
103,5,0.0233281
104,5,0.0276347
105,5,0.0327364
106,5,0.0387799
107,5,0.0459391
108,5,0.0544199
109,5,0.0644664
110,5,0.0763677
111,5,0.090466
112,5,0.107167
113,5,0.1269512
114,5,0.1503878
115,5,0.1781511
116,5,0.2110397
117,5,0.25
118,7,5e-05
119,7,5.85e-05
120,7,6.85e-05
121,7,8.02e-05
122,7,9.39e-05
123,7,0.00011
124,7,0.0001288
125,7,0.0001508
126,7,0.0001765
127,7,0.0002067
128,7,0.0002419
129,7,0.0002833
130,7,0.0003316
131,7,0.0003883
132,7,0.0004546
133,7,0.0005322
134,7,0.0006231
135,7,0.0007295
136,7,0.0008541
137,7,0.001
138,7,0.0011139
139,7,0.0012278
140,7,0.0013418
141,7,0.0014557
142,7,0.0015696
143,7,0.0016835
144,7,0.0017975
145,7,0.0019114
146,7,0.0020253
147,7,0.0021392
148,7,0.0022532
149,7,0.0023671
150,7,0.002481
151,7,0.0025949
152,7,0.0027089
153,7,0.0028228
154,7,0.0029367
155,7,0.0030506
156,7,0.0031646
157,7,0.0032785
158,7,0.0033924
159,7,0.0035063
160,7,0.0036203
161,7,0.0037342
162,7,0.0038481
163,7,0.003962
164,7,0.0040759
165,7,0.0041899
166,7,0.0043038
167,7,0.0044177
168,7,0.0045316
169,7,0.0046456
170,7,0.0047595
171,7,0.0048734
172,7,0.0049873
173,7,0.0051013
174,7,0.0052152
175,7,0.0053291
176,7,0.005443
177,7,0.005557
178,7,0.0056709
179,7,0.0057848
180,7,0.0058987
181,7,0.0060127
182,7,0.0061266
183,7,0.0062405
184,7,0.0063544
185,7,0.0064684
186,7,0.0065823
187,7,0.0066962
188,7,0.0068101
189,7,0.0069241
190,7,0.007038
191,7,0.0071519
192,7,0.0072658
193,7,0.0073797
194,7,0.0074937
195,7,0.0076076
196,7,0.0077215
197,7,0.0078354
198,7,0.0079494
199,7,0.0080633
200,7,0.0081772
201,7,0.0082911
202,7,0.0084051
203,7,0.008519
204,7,0.0086329
205,7,0.0087468
206,7,0.0088608
207,7,0.0089747
208,7,0.0090886
209,7,0.0092025
210,7,0.0093165
211,7,0.0094304
212,7,0.0095443
213,7,0.0096582
214,7,0.0097722
215,7,0.0098861
216,7,0.01
217,7,0.0118461
218,7,0.014033
219,7,0.0166237
220,7,0.0196926
221,7,0.0233281
222,7,0.0276347
223,7,0.0327364
224,7,0.0387799
225,7,0.0459391
226,7,0.0544199
227,7,0.0644664
228,7,0.0763677
229,7,0.090466
230,7,0.107167
231,7,0.1269512
232,7,0.1503878
233,7,0.1781511
234,7,0.2110397
235,7,0.25
236,9,5e-05
