,N,m
0,500,0.01101
1,500,0.01212
2,500,0.01334
3,500,0.01468
4,500,0.01616
5,500,0.01778
6,500,0.01957
7,500,0.02154
8,500,0.02371
9,500,0.0261
10,500,0.02873
11,500,0.03162
12,500,0.03481
13,500,0.03831
14,500,0.04217
15,500,0.04642
16,500,0.05109
17,500,0.05623
18,500,0.0619
19,500,0.06813
20,500,0.07499
21,500,0.08254
22,500,0.09085
23,1000,0.01101
24,1000,0.01212
25,1000,0.01334
26,1000,0.01468
27,1000,0.01616
28,1000,0.01778
29,1000,0.01957
30,1000,0.02154
31,1000,0.02371
32,1000,0.0261
33,1000,0.02873
34,1000,0.03162
35,1000,0.03481
36,1000,0.03831
37,1000,0.04217
38,1000,0.04642
39,1000,0.05109
40,1000,0.05623
41,1000,0.0619
42,1000,0.06813
43,1000,0.07499
44,1000,0.08254
45,1000,0.09085
46,2000,0.01101
47,2000,0.01212
48,2000,0.01334
49,2000,0.01468
50,2000,0.01616
51,2000,0.01778
52,2000,0.01957
53,2000,0.02154
54,2000,0.02371
55,2000,0.0261
56,2000,0.02873
57,2000,0.03162
58,2000,0.03481
59,2000,0.03831
60,2000,0.04217
61,2000,0.04642
62,2000,0.05109
63,2000,0.05623
64,2000,0.0619
65,2000,0.06813
66,2000,0.07499
67,2000,0.08254
68,2000,0.09085
