,N,m
0,500,0.01
1,500,0.01068
2,500,0.0114
3,500,0.01218
4,500,0.01301
5,500,0.01389
6,500,0.01483
7,500,0.01584
8,500,0.01691
9,500,0.01806
10,500,0.01929
11,500,0.0206
12,500,0.022
13,500,0.02349
14,500,0.02508
15,500,0.02679
16,500,0.02861
17,500,0.03055
18,500,0.03262
19,500,0.03484
20,500,0.0372
21,500,0.03973
22,500,0.04243
23,500,0.04531
24,500,0.04838
25,500,0.05167
26,500,0.05518
27,500,0.05892
28,500,0.06292
29,500,0.0672
30,500,0.07176
31,500,0.07663
32,500,0.08184
33,500,0.08739
34,500,0.09333
35,500,0.09966
36,500,0.10643
37,500,0.11365
38,500,0.12137
39,500,0.12961
40,500,0.13841
41,500,0.14781
42,500,0.15785
43,500,0.16856
44,500,0.18001
45,500,0.19223
46,500,0.20528
47,500,0.21922
48,500,0.2341
49,500,0.25
50,1000,0.01
51,1000,0.01068
52,1000,0.0114
53,1000,0.01218
54,1000,0.01301
55,1000,0.01389
56,1000,0.01483
57,1000,0.01584
58,1000,0.01691
59,1000,0.01806
60,1000,0.01929
61,1000,0.0206
62,1000,0.022
63,1000,0.02349
64,1000,0.02508
65,1000,0.02679
66,1000,0.02861
67,1000,0.03055
68,1000,0.03262
69,1000,0.03484
70,1000,0.0372
71,1000,0.03973
72,1000,0.04243
73,1000,0.04531
74,1000,0.04838
75,1000,0.05167
76,1000,0.05518
77,1000,0.05892
78,1000,0.06292
79,1000,0.0672
80,1000,0.07176
81,1000,0.07663
82,1000,0.08184
83,1000,0.08739
84,1000,0.09333
85,1000,0.09966
86,1000,0.10643
87,1000,0.11365
88,1000,0.12137
89,1000,0.12961
90,1000,0.13841
91,1000,0.14781
92,1000,0.15785
93,1000,0.16856
94,1000,0.18001
95,1000,0.19223
96,1000,0.20528
97,1000,0.21922
98,1000,0.2341
99,1000,0.25
100,2000,0.01
101,2000,0.01068
102,2000,0.0114
103,2000,0.01218
104,2000,0.01301
105,2000,0.01389
106,2000,0.01483
107,2000,0.01584
108,2000,0.01691
109,2000,0.01806
110,2000,0.01929
111,2000,0.0206
112,2000,0.022
113,2000,0.02349
114,2000,0.02508
115,2000,0.02679
116,2000,0.02861
117,2000,0.03055
118,2000,0.03262
119,2000,0.03484
120,2000,0.0372
121,2000,0.03973
122,2000,0.04243
123,2000,0.04531
124,2000,0.04838
125,2000,0.05167
126,2000,0.05518
127,2000,0.05892
128,2000,0.06292
129,2000,0.0672
130,2000,0.07176
131,2000,0.07663
132,2000,0.08184
133,2000,0.08739
134,2000,0.09333
135,2000,0.09966
136,2000,0.10643
137,2000,0.11365
138,2000,0.12137
139,2000,0.12961
140,2000,0.13841
141,2000,0.14781
142,2000,0.15785
143,2000,0.16856
144,2000,0.18001
145,2000,0.19223
146,2000,0.20528
147,2000,0.21922
148,2000,0.2341
149,2000,0.25
