,Fst
0,0.0001
1,0.000104
2,0.000109
3,0.000114
4,0.000119
5,0.000124
6,0.000129
7,0.000135
8,0.000141
9,0.000147
10,0.000153
11,0.00016
12,0.000167
13,0.000174
14,0.000182
15,0.00019
16,0.000198
17,0.000207
18,0.000216
19,0.000226
20,0.000235
21,0.000246
22,0.000256
23,0.000268
24,0.000279
25,0.000292
26,0.000304
27,0.000318
28,0.000331
29,0.000346
30,0.000361
31,0.000377
32,0.000393
33,0.000411
34,0.000429
35,0.000447
36,0.000467
37,0.000487
38,0.000509
39,0.000531
40,0.000554
41,0.000578
42,0.000604
43,0.00063
44,0.000657
45,0.000686
46,0.000716
47,0.000748
48,0.00078
49,0.000814
50,0.00085
51,0.000887
52,0.000926
53,0.000966
54,0.001009
55,0.001053
56,0.001099
57,0.001147
58,0.001197
59,0.001249
60,0.001304
61,0.001361
62,0.001421
63,0.001483
64,0.001547
65,0.001615
66,0.001686
67,0.001759
68,0.001836
69,0.001917
70,0.002001
71,0.002088
72,0.002179
73,0.002275
74,0.002374
75,0.002478
76,0.002586
77,0.002699
78,0.002817
79,0.002941
80,0.003069
81,0.003203
82,0.003343
83,0.00349
84,0.003642
85,0.003802
86,0.003968
87,0.004141
88,0.004322
89,0.004511
90,0.004709
91,0.004915
92,0.00513
93,0.005354
94,0.005588
95,0.005832
96,0.006087
97,0.006354
98,0.006631
99,0.006921
100,0.007224
101,0.00754
102,0.00787
103,0.008214
104,0.008573
105,0.008948
106,0.009339
107,0.009748
108,0.010174
109,0.010619
110,0.011083
111,0.011568
112,0.012073
113,0.012601
114,0.013152
115,0.013728
116,0.014328
117,0.014954
118,0.015608
119,0.016291
120,0.017003
121,0.017747
122,0.018523
123,0.019333
124,0.020178
125,0.021061
126,0.021982
127,0.022943
128,0.023946
129,0.024993
130,0.026086
131,0.027227
132,0.028418
133,0.02966
134,0.030957
135,0.032311
136,0.033724
137,0.035199
138,0.036738
139,0.038344
140,0.040021
141,0.041771
142,0.043598
143,0.045504
144,0.047494
145,0.049571
146,0.051739
147,0.054001
148,0.056363
149,0.058828
150,0.0614
151,0.064085
152,0.066887
153,0.069812
154,0.072865
155,0.076051
156,0.079377
157,0.082848
158,0.086471
159,0.090252
160,0.094199
161,0.098318
162,0.102618
163,0.107105
164,0.111789
165,0.116677
166,0.121779
167,0.127104
168,0.132663
169,0.138464
170,0.144519
171,0.150838
172,0.157434
173,0.164319
174,0.171504
175,0.179004
176,0.186832
177,0.195002
178,0.203529
179,0.212429
180,0.221719
181,0.231414
182,0.241534
183,0.252096
184,0.26312
185,0.274626
186,0.286635
187,0.299169
188,0.312251
189,0.325906
190,0.340157
191,0.355032
192,0.370557
193,0.386762
194,0.403674
195,0.421327
196,0.439751
197,0.458981
198,0.479052
199,0.5
